GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mavenTest,com.maven.maventest,MavenTest,16,0,0,0,4,0,2,0,2,0
mavenTest,com.maven.maventest,distanceCalculator,0,22,0,0,0,3,0,2,0,2
